,0,1,label
30,-0.698141912,-0.012458514,2
38,-1.166742366,-1.456739318,2
40,-1.317796845,-1.424224962,2
60,-1.079167367,-0.282250166,2
72,-2.360102704,-0.888274681,2
74,-1.528432846,-0.86448085,2
75,-0.965392615,-0.896076808,2
76,-1.083223849,-0.524862436,2
80,-2.63323255,0.941429934,2
82,-2.222352281,-1.964522285,2
87,-0.712289037,-0.806491018,2
88,-2.000737731,-1.173086108,2
89,-0.886566049,-0.211334403,2
90,-2.656350402,-1.580196867,2
92,-2.378355993,-1.674306378,2
94,-1.173142547,0.359905207,2
96,-1.588327706,0.098975781,2
98,-2.047339535,0.414127322,2
99,-1.773407042,-0.681981146,2
100,-2.594232551,1.250802976,2
103,-1.41269655,-1.309562999,2
109,-1.314742741,-1.495653895,2
112,-1.816740348,-1.350081378,2
133,-1.559463467,-1.119794809,2
145,-1.133983799,0.280465659,2
146,-2.988226407,0.063538048,2
148,-1.302874538,0.45763497,2
152,-1.475678504,-0.360628485,2
157,-1.97040912,0.140596112,2
159,-0.975424878,0.531191358,2
161,-2.111546752,-0.749606095,2
213,-2.826037503,0.115540156,2
215,-1.623323018,0.088921016,2
216,-2.051889324,1.824551097,2
226,-1.064786658,0.19295389,2
230,-1.961834523,-1.596153983,2
238,-0.903862323,-0.728148182,2
243,-2.572416721,-0.013834146,2
287,-2.584509943,0.259711155,2
304,-1.560682867,-1.059702629,2
360,-2.408613686,0.540321433,2
365,-0.885483468,-0.327063242,2
369,-0.740854942,-0.293889499,2
371,-1.273552177,-0.709153528,2
388,-1.156736829,-0.682359351,2
429,-1.840369916,0.142212193,2
430,-0.338735757,-0.596622669,2
442,-1.576274188,-0.048401032,2
460,-1.013424087,-0.356409245,2
461,-2.291967431,-0.860554823,2
468,-1.364434454,0.50659722,2
498,-1.755719943,-0.670648007,2
499,-3.084494791,-0.691852377,2
500,-1.568348272,0.350737924,2
501,-1.989341086,1.200729907,2
506,-3.100934807,-0.100419839,2
513,-2.024565543,1.401643701,2
514,-1.072694174,-0.063029151,2
520,-1.653998057,-0.205316659,2
523,-1.659330464,-0.59232261,2
569,-1.273183413,-0.309366033,2
572,-1.105230869,-0.895992802,2
573,-1.105230869,-0.895992802,2
583,-1.424213802,-1.184085717,2
641,-0.617207223,0.584737684,2
646,-0.789913965,0.184126011,2
647,-1.268190996,-1.439535252,2
651,-1.583504819,-0.645393352,2
660,-1.489160874,-0.88776123,2
670,-1.603265138,-0.741721434,2
712,-1.257867492,-1.069577763,2
713,-0.526330636,0.41937689,2
714,-1.555120231,-1.058426716,2
717,-1.904876984,0.236772611,2
719,-2.94512031,-0.664749417,2
723,-2.368920933,0.378530295,2
727,-1.663309464,-1.555001521,2
735,-1.535127125,0.032388169,2
781,-3.009041945,1.227482611,2
785,-1.707577881,-0.758298498,2
789,-1.346712603,-0.872298642,2
793,-0.457794982,-0.193282405,2
800,-0.219949921,-0.485922472,2
805,-1.428385107,-0.067517827,2
820,-0.560009702,-0.590018733,2
822,-0.850852792,-0.130661928,2
857,-1.991277423,-0.548588134,2
858,-0.973795156,-0.522754057,2
860,-0.363568723,-0.533766892,2
861,-1.432052957,0.345225232,2
867,-0.849351952,-0.114202131,2
869,-1.755725347,-1.821810056,2
875,-1.687934195,0.286533225,2
878,-1.718083412,0.609776777,2
883,-1.391398312,-0.676924874,2
923,-0.973666939,-0.446813525,2
925,-2.038677654,0.270264637,2
926,-0.997767087,-0.481135148,2
931,-1.784827732,0.636849639,2
942,-0.516584695,-0.84300524,2
946,-1.120390956,0.173482813,2
968,-0.932650365,-0.14607688,2
971,-0.853086165,-0.229484393,2
995,-1.805747425,-1.11104794,2
1,0.11623761,-0.338274267,1
7,0.870577635,0.734996118,1
8,0.136214007,-0.597246816,1
9,0.325402727,0.282098073,1
14,-0.16384005,0.86684929,1
17,1.347366326,0.091408717,1
19,0.883289887,0.491441894,1
20,1.143486244,0.033952099,1
22,1.412368326,0.286872058,1
24,0.864756245,-0.423224753,1
31,0.996909751,0.033202263,1
32,1.449392774,0.195198621,1
34,1.233937107,-0.122461923,1
44,0.720133123,0.694763552,1
45,1.230736597,-0.103326325,1
46,1.328673251,-0.075894966,1
56,1.001206125,0.566436508,1
62,1.533574401,0.38670103,1
65,1.505523992,0.200622414,1
68,1.317205303,-0.128199659,1
69,1.240125045,-0.238686169,1
78,0.563158893,-0.369301084,1
79,0.730433757,-0.200159513,1
83,0.471653474,0.501165033,1
93,1.20228944,-0.168467219,1
95,1.583043933,0.361549631,1
97,1.387959586,0.257345304,1
104,1.348385204,0.158702678,1
110,0.770153824,0.088142151,1
118,0.909065308,0.363233539,1
122,1.217982139,-0.035890589,1
126,1.609140073,0.519193557,1
130,1.612413441,0.398999797,1
131,1.151587469,-0.19426598,1
139,1.541295363,0.250012153,1
141,1.58911143,0.355490205,1
150,1.172994501,0.12516672,1
151,1.225258268,0.025909135,1
153,1.478044337,0.162031076,1
164,1.211046982,0.182751881,1
168,1.561126913,0.324234206,1
177,1.326954737,-0.049877361,1
197,1.443210675,0.249239592,1
198,1.487451094,0.190600508,1
199,1.487451094,0.190600508,1
200,1.29897022,-0.08113336,1
206,1.506501127,0.214839759,1
212,1.190655513,-0.21353477,1
214,0.686141597,-0.326772453,1
217,0.631719738,-0.440178489,1
220,0.526075333,0.61457107,1
225,0.847620214,-0.346859175,1
229,0.974377961,0.091210921,1
231,1.579094364,0.464202297,1
232,0.296194128,-0.377468302,1
234,0.758437551,-0.474114857,1
235,1.310365312,0.072229494,1
239,0.777598433,0.571340259,1
240,1.526196246,0.410754882,1
245,0.521870224,0.373595409,1
246,0.094741251,-0.701676923,1
247,0.094741251,-0.701676923,1
261,0.771153016,0.095647551,1
270,1.5959862,0.464018447,1
273,0.704799927,1.480921064,1
275,1.295637741,0.931259117,1
279,1.608870253,0.368382529,1
282,1.569988541,0.432309116,1
286,0.797449264,0.697314467,1
289,1.267475105,-0.171894649,1
291,1.255520604,-0.052934727,1
292,1.337511444,0.143032604,1
293,0.861267883,0.707114526,1
294,1.296287855,0.598765582,1
296,1.483102111,0.170642328,1
299,1.049274675,0.546619192,1
302,1.453798624,0.125626888,1
306,1.571308482,0.333891436,1
308,-1.05201958,1.932117758,1
311,1.148144602,-0.080047495,1
326,1.361057651,0.110360466,1
330,1.243033776,-0.172533381,1
331,1.279781439,-0.159137067,1
336,0.939252523,0.744636023,1
338,1.420055856,0.128860433,1
342,0.929771456,0.717730628,1
344,1.4274666,0.075918558,1
345,1.246440867,0.265206721,1
346,1.55677793,0.304276027,1
348,1.61453137,0.495593037,1
350,1.622357649,0.391345867,1
351,1.359353417,-0.056439227,1
353,1.553569107,0.291657758,1
362,0.971423456,-0.384765058,1
368,0.228912827,-0.170450546,1
370,0.713896661,-0.289110151,1
378,0.939106888,-0.167909245,1
386,1.248758596,-0.228345672,1
402,1.175939471,-0.237597205,1
424,1.264436779,-0.209847255,1
425,1.45987441,0.125468701,1
431,0.535578484,-0.23793904,1
435,1.084006611,-0.08806519,1
436,1.629199829,0.528762131,1
437,0.60057133,-0.124440338,1
438,1.444442637,0.394486602,1
439,-0.001881995,-0.056827949,1
441,0.612150564,-0.264265103,1
445,0.112841511,0.223407616,1
447,0.685849818,-0.241484065,1
449,1.298516257,0.061243232,1
454,1.17287771,-0.164697151,1
463,0.360654113,0.481429679,1
474,1.464061233,0.228367715,1
475,0.31453891,0.994007312,1
478,1.645317824,0.435313362,1
487,1.236452262,-0.241103255,1
489,1.628091624,0.417498213,1
490,1.599935768,0.361365781,1
491,1.584152138,0.472813549,1
494,1.557078864,0.300952277,1
496,1.585739581,0.349749371,1
497,0.636179572,0.600995555,1
504,0.871676686,0.764295398,1
508,0.988339004,0.930142417,1
509,1.575088059,0.493996983,1
512,1.010401275,0.642299646,1
517,0.374375866,0.704797024,1
518,1.2118679,0.029486265,1
519,0.623137086,-0.315477733,1
521,0.36355963,-0.265734164,1
524,0.530063459,0.258459216,1
526,0.558404906,-0.360130045,1
527,1.505900102,0.271698028,1
528,0.556727914,0.200556421,1
531,1.267653224,0.900003118,1
532,0.540204844,0.600527766,1
534,1.242149998,0.213965806,1
551,1.233044174,0.182072625,1
552,1.079308448,0.221146416,1
553,1.066225057,1.02996984,1
555,0.746022361,0.647736554,1
556,1.519345754,0.241584751,1
557,1.567765294,0.303274168,1
558,0.851370795,0.812101096,1
559,1.602159986,0.378223608,1
561,1.580681807,0.341138119,1
563,1.56199873,0.306009844,1
564,1.548511334,0.283046506,1
565,1.464354464,0.242473454,1
576,1.202021331,0.112864019,1
578,0.203032088,-0.074683898,1
579,1.071177106,-0.257416709,1
580,1.007759742,-0.125704766,1
581,1.435605286,0.225769803,1
582,0.182272696,0.009059094,1
585,1.470290915,0.165220085,1
588,0.609404579,-0.035076755,1
592,1.029324929,-0.220106845,1
595,1.541165639,0.440600227,1
597,1.219808751,0.269032911,1
600,0.998186643,-0.291544675,1
601,1.44645293,0.283180609,1
602,1.190968917,0.009254031,1
603,0.973973853,-0.071407122,1
606,1.222529187,0.016386647,1
607,1.141096655,-0.232353327,1
608,1.517325464,0.220715335,1
609,0.885252573,0.363389932,1
612,1.467221452,0.255549627,1
615,0.196386155,1.181393481,1
616,1.045657763,0.540996686,1
621,1.622357649,0.391345867,1
623,1.438591871,0.078470385,1
624,1.595855129,0.366971875,1
625,1.380635955,-0.00944091,1
628,1.497599231,0.178934989,1
629,1.578995883,0.338267702,1
630,1.380635955,-0.00944091,1
631,1.482320463,0.283047418,1
633,1.509735069,0.217026909,1
634,1.41941222,0.056578687,1
635,1.478948614,0.277306583,1
636,1.529631798,0.233472917,1
637,1.640764912,0.419366772,1
643,0.695437069,-0.106073563,1
645,0.893936383,0.851363688,1
648,0.712852078,0.531264724,1
649,0.905398928,-0.247493668,1
654,1.014613884,-0.356563326,1
655,1.014613884,-0.356563326,1
657,1.010412804,-0.240792412,1
658,1.364763023,0.083889529,1
664,1.466846209,0.260537412,1
668,1.277488497,0.093569322,1
672,0.796841865,-0.284812192,1
677,0.992321597,-0.414743594,1
678,0.992321597,-0.414743594,1
690,1.454711214,0.272656263,1
692,1.572960975,0.315439105,1
693,1.522350648,0.258214609,1
694,1.382396951,0.256069391,1
695,1.463849603,0.249808792,1
696,1.432353877,0.109864147,1
697,1.119418805,0.158318926,1
698,1.582938615,0.329107923,1
699,1.562340566,0.30555194,1
702,1.377126199,-0.01873543,1
703,1.588501251,0.330383837,1
704,1.460982615,0.236732619,1
705,1.490855533,0.16745332,1
706,1.479967598,0.156360024,1
707,1.53347592,0.260766436,1
710,1.459884431,0.283496739,1
715,1.401186317,0.211462253,1
722,1.439499943,0.243596955,1
724,1.269675046,-0.094394933,1
725,1.048259518,-0.198096819,1
738,1.260644374,-0.077741379,1
739,0.835446791,-0.243669028,1
741,1.218796854,-0.271480551,1
742,1.218796854,-0.271480551,1
